property_id,city,locality,property_type,bhk,area_sqft,bathrooms,floor,age_years,amenities,amenity_score,price,school_nearby,hospital_nearby,metro_nearby,mall_nearby,location_score,rent_yield,capital_apprec,investment_score,is_fraud
1001,Delhi,Dwarka,Independent House,2,914,2,4,23,Play Area,1,8868763,5.5,5.9,0.3,0.9,3.15,3.4,9.43,6.42,0
1002,Jaipur,Malviya Nagar,Commercial,0,2018,1,14,18,Visitor Parking|Gym|Parking|Club House,4,9956200,1.6,9.6,3.4,0.9,3.88,2.58,12.86,7.72,0
1003,Surat,Katargam,Apartment,4,1749,4,3,29,Swimming Pool|Intercom|Lift|Play Area|CCTV|Garden,6,5233415,7.0,0.5,2.3,2.9,3.18,2.48,4.26,3.37,0
1004,Delhi,Saket,Independent House,4,1850,4,26,11,Garden|Fire Safety,2,31652136,2.7,9.4,6.5,6.1,6.18,3.03,11.21,7.12,0
1005,Bangalore,Indiranagar,Plot,0,3011,3,0,22,Security|Play Area|Garden|Gym|Fire Safety|Visitor Parking|Jogging Track|CCTV,8,33600860,2.1,9.4,8.8,3.1,5.85,5.93,6.54,6.23,0
1006,Ahmedabad,Satellite,Independent House,2,926,2,23,17,Lift|Jogging Track|CCTV|Club House|Visitor Parking|Play Area|Garden|Swimming Pool,8,5294369,1.4,4.9,7.6,8.6,5.62,2.92,3.24,3.08,0
1007,Kolkata,Alipore,Apartment,4,1590,4,19,14,Lift|Intercom|Gym|Play Area|Swimming Pool|Visitor Parking|Fire Safety|Club House,8,13722765,1.1,4.3,4.5,9.5,4.85,7.26,4.69,5.97,0
1008,Jaipur,Malviya Nagar,Commercial,0,735,3,9,26,Intercom|CCTV|Security|Parking|Garden|Play Area|Gym|Lift|Fire Safety|Jogging Track,10,1114463,9.3,8.8,8.3,3.1,7.38,2.35,13.29,7.82,1
1009,Delhi,Dwarka,Plot,0,1366,3,0,24,Parking|Play Area,2,12229826,5.5,2.7,8.7,4.2,5.27,3.27,8.55,5.91,0
1010,Hyderabad,Madhapur,Plot,0,3859,2,0,28,Power Backup|Swimming Pool|Security|Jogging Track|Visitor Parking|Garden|Gym|Lift,8,30527305,5.9,0.1,7.1,0.6,3.42,2.4,1.44,1.92,0
1011,Pune,Hinjewadi,Commercial,0,1274,2,21,15,Intercom|Parking|Jogging Track,3,10471848,5.7,4.7,7.8,8.1,6.57,3.14,2.36,2.75,0
1012,Kolkata,Park Street,Plot,0,4167,2,0,27,Gym|Play Area|Visitor Parking|Jogging Track|Swimming Pool|Fire Safety|Club House|Garden|Parking|Intercom|CCTV,11,23242621,5.4,1.4,1.8,4.6,3.3,7.25,2.06,4.66,0
1013,Jaipur,Vaishali Nagar,Apartment,1,647,1,29,24,Security|Parking|Club House|Power Backup|Play Area|Fire Safety|Jogging Track|Gym|Swimming Pool|Intercom|CCTV|Garden|Visitor Parking,13,3058555,7.9,2.9,7.0,7.3,6.28,6.7,10.27,8.48,0
1014,Ahmedabad,Satellite,Villa,4,3583,4,0,30,,0,13807326,5.4,7.5,0.6,5.8,4.83,5.02,12.94,8.98,0
1015,Bangalore,Koramangala,Commercial,0,628,1,2,19,Play Area,1,6377332,4.0,9.4,5.7,5.8,6.23,2.24,2.15,2.2,0
